date,Ahvaz,Arak,Ardabil,Bandar `Abbas,Bandar-e Bushehr,Birjand,Bojnurd,Esfahan,Gorgan,Hamadan,Ilam,Karaj,Kermanshah,Kerman,Khorramabad,Mashhad,Orumiyeh,Qazvin,Qom,Rasht,Sanandaj,Sari,Semnan,Shahr-e Kord,Shiraz,Tabriz,Tehran,Yasuj,Yazd,Zahedan,Zanjan
1903-09-16 00:00:00,0.200000003,0.100000001,64.5,0.699999988,0,0,0.100000001,0,5.300000191,0.100000001,347.1000061,7.800000191,0.5,0.100000001,75,0,4,35.90000153,0.400000006,12.30000019,0.400000006,9.900000572,0.100000001,0,0,12.80000019,1.100000024,0,0.100000001,0.300000012,30.60000038
1903-10-16 00:00:00,3.400000095,3.600000143,36.10000229,1.5,0,2.299999952,0.200000003,0,10.60000038,5.200000286,149,4.800000191,20.39999962,0.300000012,34.70000076,0,16.80000114,21.70000076,1,10.69999981,18.60000038,19.30000114,0.400000006,0,0.699999988,16.5,1.600000024,0.600000024,0.5,1.700000048,27.60000038
1903-11-16 00:00:00,17.5,7.400000095,53.40000153,5.5,0,8.100000381,10.10000038,0.800000012,16.39999962,10.90000057,2.5,8.900000572,45.79999924,16.80000114,51.40000153,3.200000048,29.30000114,32.10000229,2.299999952,56.70000076,41.5,27,0.900000036,1.700000048,5.5,24.20000076,4.099999905,4.400000095,2.100000143,4.200000286,38
1903-12-16 00:00:00,43.40000153,21.39999962,66.09999847,25.20000076,54.10000229,19.30000114,21.10000038,3.299999952,26,28.20000076,1.200000048,30,63.60000229,7.800000191,70.59999847,20.30000114,46.70000076,52.5,16.60000038,43,52.70000076,52.5,9.900000572,9.300000191,45.5,39.29999924,20.70000076,28.60000038,5.700000286,9.300000191,49.79999924
1904-01-16 00:00:00,63.60000229,72.30000305,66.30000305,38.90000153,23.80000114,30.5,22.5,32.70000076,25.70000076,55.79999924,3.700000048,55.29999924,64.90000153,12.5,101.4000015,35.40000153,37.29999924,87.30000305,67.59999847,82.09999847,54.60000229,54.60000229,26.20000076,62.40000153,55,34.60000229,43.5,55.90000153,26,22,80.30000305
1904-02-15 00:00:00,24.5,16.60000038,19.20000076,45.60000229,7.599999905,36.90000153,27.70000076,2.100000143,15.80000019,24.5,9.699999809,12.60000038,59.20000076,51.20000076,23.5,45.29999924,16.89999962,21.70000076,8.600000381,16.89999962,53.90000153,16.39999962,7.900000095,4.599999905,14.5,13,10.10000038,10.80000019,7.400000095,25.30000114,24.60000038
1904-03-16 00:00:00,34.90000153,71.20000458,66.09999847,35.20000076,22.70000076,40.60000229,81.80000305,34.79999924,40.20000076,68,10,53.70000076,85.5,51.29999924,64.40000153,71.90000153,60.79999924,55.20000076,58.5,113.3000031,78.30000305,55.10000229,37.79999924,73.30000305,55.10000229,62.70000076,47.90000153,66,34.79999924,20,53.60000229
1904-04-16 00:00:00,18.70000076,43.60000229,82.59999847,12.90000057,4.700000286,32.29999924,38.5,17.70000076,23.10000038,49,20.30000114,31.80000114,71,28.5,51.79999924,23.30000114,63.29999924,53.40000153,24.10000038,125.0999985,71.70000458,17.70000076,22.89999962,39.90000153,26.70000076,77.80000305,30.5,38.29999924,18,15.40000057,69.5
1904-05-16 00:00:00,3.100000143,35.20000076,128.6999969,5.200000286,3.299999952,12.90000057,66.70000458,5.300000191,20.89999962,53.70000076,290.6000061,47.60000229,39.90000153,1.100000024,87.40000153,66.40000153,62.5,82.59999847,20.89999962,208.8000031,44.29999924,17.20000076,46,7.400000095,2.100000143,98.09999847,47.29999924,5.700000286,4.900000095,7.800000191,91.80000305
1904-06-16 00:00:00,0,0.5,33.20000076,0.200000003,0,1.200000048,4.099999905,0,4.200000286,1.5,480.5,0.400000006,1.700000048,0.100000001,4.599999905,2.299999952,16.70000076,2.700000048,0.100000001,24.60000038,5,2.200000048,1,0,0.200000003,30.10000038,0.300000012,0.600000024,0.600000024,2.200000048,7.700000286
1904-07-16 00:00:00,0,0.200000003,8.800000191,0.900000036,0,0.600000024,0.5,0,3.700000048,0.800000012,642.9000244,0,0.900000036,0,0.900000036,0,3.100000143,1,0.100000001,16.80000114,2.200000048,3.299999952,0.699999988,0,1.200000048,8,0,0.800000012,0.600000024,3.700000048,3.600000143
1904-08-16 00:00:00,0,0.200000003,43.40000153,2.600000143,0,0.699999988,10.80000019,0,12,0.300000012,681.7999878,1.200000048,0.200000003,2.100000143,11.19999981,1.600000024,4,6.400000095,0.200000003,8.600000381,0.400000006,28.70000076,0.400000006,0,0.300000012,15.80000019,0.400000006,0.300000012,0.100000001,4.200000286,9.900000572
1904-09-16 00:00:00,0.100000001,0.200000003,74,0.699999988,0,0,6.599999905,0,10.5,0.300000012,198.1000061,22.80000114,0.5,19.20000076,90.70000458,2.400000095,7.700000286,45.60000229,6.099999905,35.10000229,0.400000006,41.10000229,0.600000024,0,0,21.89999962,5.599999905,0,0,0.300000012,31.70000076
1904-10-16 00:00:00,3.700000048,8.900000572,55.70000076,1.5,0,2.5,11.30000019,1.200000048,17.10000038,9.300000191,109.5,26.60000038,20.89999962,28.89999962,78.80000305,11.60000038,33.90000153,44.5,17.10000038,53.5,18.80000114,63.70000076,2.200000048,1,0.900000036,31.30000114,10.90000057,1,0.699999988,1.700000048,37.5
1904-11-16 00:00:00,17.80000114,25.39999962,49.90000153,5.5,2,9.199999809,23.39999962,3.900000095,20.5,30.89999962,8.800000191,52.5,49.20000076,9.199999809,102.7000046,27.20000076,51,67,33.60000229,43.70000076,42.40000153,74.5,9.5,3,6.800000191,38,30.30000114,5,1.899999976,4.200000286,46.5
